114,51.5793,-0.3366,Harrow-on-the-Hill,5,1,940GZZLUHOH,,,
115,51.4669,-0.4227,Hatton Cross,5.5,1,940GZZLUHNX,,,
116,51.4598,-0.4476,Heathrow Terminal 4,6,1,940GZZLUHR4,,,
117,51.4713,-0.4524,Heathrow Terminals 1 2 & 3,6,1,940GZZLUHRC,,,
118,51.5829,-0.2259,Hendon Central,3.5,1,940GZZLUHCL,,,
119,51.5033,-0.0215,Heron Quays,2,1,,940GZZDLHEQ,,
120,51.6503,-0.1943,High Barnet,5,1,940GZZLUHBT,,,
121,51.5009,-0.1925,High Street Kensington,1,2,940GZZLUHSK,,,
122,51.546,-0.104,Highbury & Islington,2,1,940GZZLUHAI,,,
123,51.5777,-0.1458,Highgate,3,1,940GZZLUHGT,,,
124,51.5538,-0.4499,Hillingdon,6,2,940GZZLUHGD,,,
125,51.5174,-0.12,Holborn,1,2,940GZZLUHBN,,,
126,51.5075,-0.206,Holland Park,2,1,940GZZLUHPK,,,
127,51.5526,-0.1132,Holloway Road,2,1,940GZZLUHWY,,,
128,51.5539,0.2184,Hornchurch,6,1,940GZZLUHCH,,,
129,51.4713,-0.3665,Hounslow Central,4,1,940GZZLUHWC,,,
130,51.4733,-0.3564,Hounslow East,4,1,940GZZLUHWE,,,
131,51.4734,-0.3855,Hounslow West,5,1,940GZZLUHWT,,,
132,51.5027,-0.1527,Hyde Park Corner,1,1,940GZZLUHPC,,,
133,51.5619,-0.4421,Ickenham,6,2,940GZZLUICK,,,
134,51.4871,-0.0101,Island Gardens,2,1,,940GZZDLISL,,
135,51.4884,-0.1053,Kennington,2,1,940GZZLUKNG,,,
136,51.5304,-0.225,Kensal Green,2,1,940GZZLUKSL,,,
137,51.4983,-0.2106,Kensington (Olympia),2,1,940GZZLUKOY,,,
138,51.5507,-0.1402,Kentish Town,2,1,940GZZLUKSH,,,
139,51.5816,-0.3162,Kenton,4,1,940GZZLUKEN,,,
140,51.477,-0.285,Kew Gardens,3.5,1,940GZZLUKWG,,,
141,51.5471,-0.2047,Kilburn,2,1,940GZZLUKBN,,,
142,51.5351,-0.1939,Kilburn Park,2,1,940GZZLUKPK,,,
143,51.5308,-0.1238,King's Cross St. Pancras,1,6,940GZZLUKSX,,,
144,51.5846,-0.2786,Kingsbury,4,1,940GZZLUKBY,,,
145,51.5015,-0.1607,Knightsbridge,1,1,940GZZLUKNB,,,
146,51.5172,-0.2107,Ladbroke Grove,2,1,940GZZLULAD,,,
147,51.4991,-0.1115,Lambeth North,1,1,940GZZLULBN,,,
148,51.5119,-0.1756,Lancaster Gate,1,1,940GZZLULGT,,,
149,51.5139,-0.2172,Latimer Road,2,1,940GZZLULRD,,,
150,51.5113,-0.1281,Leicester Square,1,2,940GZZLULSQ,,,
151,51.4657,-0.0142,Lewisham,2.5,1,,940GZZDLLEW,,
152,51.5566,-0.0053,Leyton,3,1,940GZZLULYN,,,
153,51.5683,0.0083,Leytonstone,3.5,1,940GZZLULYS,,,
154,51.5123,-0.0396,Limehouse,2,1,,940GZZDLLIM,,
155,51.5178,-0.0823,Liverpool Street,1,4,940GZZLULVT,,,
156,51.5052,-0.0864,London Bridge,1,2,940GZZLULNB,,,
157,51.6412,0.0558,Loughton,6,1,940GZZLULGN,,,
158,51.53,-0.1854,Maida Vale,2,1,940GZZLUMVL,,,
159,51.5712,-0.0958,Manor House,2.5,1,940GZZLUMRH,,,
160,51.5122,-0.094,Mansion House,1,2,940GZZLUMSH,,,
161,51.5136,-0.1586,Marble Arch,1,1,940GZZLUMBA,,,
162,51.5225,-0.1631,Marylebone,1,1,940GZZLUMYB,,,
163,51.5249,-0.0332,Mile End,2,3,940GZZLUMED,,,
164,51.6082,-0.2103,Mill Hill East,4,1,940GZZLUMHL,,,
165,51.5108,-0.0863,Monument,1,2,940GZZLUMMT,,,
166,51.6294,-0.432,Moor Park,6.5,1,940GZZLUMPK,,,
167,51.5186,-0.0886,Moorgate,1,4,940GZZLUMGT,,,
168,51.4022,-0.1948,Morden,4,1,940GZZLUMDN,,,
169,51.5342,-0.1387,Mornington Crescent,2,1,940GZZLUMTC,,,
170,51.4902,-0.0145,Mudchute,2,1,,940GZZDLMUD,,
171,51.5542,-0.2503,Neasden,3,1,940GZZLUNDN,,,
172,51.4767,-0.0327,New Cross,2,1,910GNWCRELL,,,
173,51.4757,-0.0402,New Cross Gate,2,1,910GNEWXGTE,,,
174,51.5756,0.0899,Newbury Park,4,1,940GZZLUNBP,,,
175,51.5237,-0.2597,North Acton,2.5,1,940GZZLUNAN,,,
176,51.5175,-0.2887,North Ealing,3,1,940GZZLUNEN,,,
177,51.5005,0.0039,North Greenwich,2.5,1,940GZZLUNGW,,,
178,51.5846,-0.3626,North Harrow,5,1,940GZZLUNHA,,,
179,51.5621,-0.3034,North Wembley,4,1,940GZZLUNWY,,,
180,51.4995,-0.3142,Northfields,3,1,940GZZLUNFD,,,
181,51.5483,-0.3687,Northolt,5,1,940GZZLUNHT,,,
182,51.5784,-0.3184,Northwick Park,4,1,940GZZLUNKP,,,
183,51.6111,-0.424,Northwood,6,1,940GZZLUNOW,,,
184,51.6004,-0.4092,Northwood Hills,6,1,940GZZLUNWH,,,
185,51.5094,-0.1967,Notting Hill Gate,1.5,3,940GZZLUNHG,,,
186,51.6476,-0.1318,Oakwood,5,1,940GZZLUOAK,,,
187,51.5263,-0.0873,Old Street,1,1,940GZZLUODS,,,
188,51.4813,-0.3522,Osterley,4,1,940GZZLUOSY,,,
189,51.4819,-0.113,Oval,2,1,940GZZLUOVL,,,
190,51.515,-0.1415,Oxford Circus,1,3,940GZZLUOXC,,,
191,51.5154,-0.1755,Paddington,1,4,940GZZLUPAC,940GZZLUPAH,,
192,51.527,-0.2841,Park Royal,3,1,940GZZLUPKR,,,
193,51.4753,-0.2011,Parsons Green,2,1,940GZZLUPSG,,,
194,51.5366,-0.3232,Perivale,4,1,940GZZLUPVL,,,
195,51.5098,-0.1342,Picadilly Circus,1,2,940GZZLUPCC,,,
196,51.4893,-0.1334,Pimlico,1,1,940GZZLUPCO,,,
197,51.5926,-0.3805,Pinner,5,1,940GZZLUPNR,,,
198,51.5313,0.0172,Plaistow,3,2,940GZZLUPLW,,,
199,51.5077,-0.0173,Poplar,2,1,,940GZZDLPOP,,
200,51.572,-0.2954,Preston Road,4,1,940GZZLUPRD,,,
201,51.5093,0.0336,Prince Regent,3,1,,940GZZDLPRE,,
202,51.5343,-0.0139,Pudding Mill Lane,2.5,1,940GZZDLPUD,,,
203,51.4682,-0.2089,Putney Bridge,2,1,940GZZLUPYB,,,
204,51.5341,-0.2047,Queen's Park,2,1,940GZZLUQPS,,,
205,51.5942,-0.2861,Queensbury,4,1,940GZZLUQBY,,,
206,51.5107,-0.1877,Queensway,1,1,940GZZLUQWY,,,
207,51.4942,-0.2359,Ravenscourt Park,2,1,940GZZLURVP,,,
208,51.5753,-0.3714,Rayners Lane,5,2,940GZZLURYL,,,
209,51.5763,0.0454,Redbridge,4,1,940GZZLURBG,,,
210,51.5234,-0.1466,Regent's Park,1,1,940GZZLURGP,,,
211,51.4633,-0.3013,Richmond,4,1,940GZZLURMD,,,
212,51.6404,-0.4733,Rickmansworth,7,1,940GZZLURKW,,,
213,51.6171,0.0439,Roding Valley,5,1,940GZZLURVY,,,
214,51.501,-0.0525,Rotherhithe,2,1,910GRTHERHI,,,
215,51.5084,0.0465,Royal Albert,3,1,,940GZZDLRAL,,
216,51.519,-0.188,Royal Oak,2,1,940GZZLURYO,,,
217,51.5091,0.0181,Royal Victoria,3,1,,940GZZDLRVC,,
218,51.5715,-0.4213,Ruislip,6,2,940GZZLURSP,,,
219,51.5606,-0.4103,Ruislip Gardens,5,1,940GZZLURSG,,,
220,51.5732,-0.4125,Ruislip Manor,6,2,940GZZLURSM,,,
221,51.523,-0.1244,Russell Square,1,1,940GZZLURSQ,,,
222,51.5822,-0.0749,Seven Sisters,3,1,940GZZLUSVS,,,
223,51.5117,-0.056,Shadwell,2,2,910GSHADWEL,940GZZDLSHA,,
224,51.5046,-0.2187,Shepherd's Bush (C),2,1,940GZZLUSBC,,,
225,51.5058,-0.2265,Shepherd's Bush (H),2,1,940GZZLUSBM,,,
226,51.5227,-0.0708,Shoreditch,2,1,NULL,,,
227,51.4924,-0.1565,Sloane Square,1,2,940GZZLUSSQ,,,
228,51.5808,0.0216,Snaresbrook,4,1,940GZZLUSNB,,,
229,51.5011,-0.3072,South Ealing,3,1,940GZZLUSEA,,,
230,51.5646,-0.3521,South Harrow,5,1,940GZZLUSHH,,,
231,51.4941,-0.1738,South Kensington,1,3,940GZZLUSKS,,,
232,51.5701,-0.3081,South Kenton,4,1,940GZZLUSKT,,,
233,51.5007,-0.0191,South Quay,2,1,940GZZDLSOQ,,,
234,51.5569,-0.3988,South Ruislip,5,1,940GZZLUSRP,,,
235,51.4154,-0.1919,South Wimbledon,3.5,1,940GZZLUSWN,,,
